id,text,intent
1314,What is the average country?,aggregate_average
1315,How many records are there?,count_rows
1316,What fields are present?,show_columns
1317,List records with salary less than 294,filter_condition
1318,Order the results by salary from smallest to largest,sort_ascending
1319,Arrange country in reverse order,sort_descending
1320,Get the total sum for score,aggregate_sum
1321,Calculate average of salary,aggregate_average
1322,Count total entries,count_rows
1323,Which columns are in the dataset?,show_columns
1324,Display entries where price equals 729,filter_condition
1325,Order the results by score from smallest to largest,sort_ascending
1326,Arrange status in reverse order,sort_descending
1327,Sum up the values in score,aggregate_sum
1328,Calculate average of country,aggregate_average
1329,Count total entries,count_rows
1330,Which columns are in the dataset?,show_columns
1331,Show all rows where name is greater than 612,filter_condition
1332,Order the results by salary from smallest to largest,sort_ascending
1333,List by country from high to low,sort_descending
1334,What is the total of salary?,aggregate_sum
1335,Calculate average of price,aggregate_average
1336,Number of rows in the data,count_rows
1337,List all headers,show_columns
1338,Show all rows where country is greater than 259,filter_condition
1339,Order the results by score from smallest to largest,sort_ascending
1340,Arrange score in reverse order,sort_descending
1341,Get the total sum for status,aggregate_sum
1342,Calculate average of name,aggregate_average
1343,Number of rows in the data,count_rows
1344,What fields are present?,show_columns
1345,Show all rows where country is greater than 85,filter_condition
1346,Sort the data by age in ascending order,sort_ascending
1347,Sort by price in descending order,sort_descending
1348,Get the total sum for gender,aggregate_sum
1349,Show mean of country,aggregate_average
1350,Number of rows in the data,count_rows
1351,List all headers,show_columns
1352,Show all rows where salary is greater than 452,filter_condition
1353,Sort the data by city in ascending order,sort_ascending
1354,Arrange age in reverse order,sort_descending
1355,Sum up the values in age,aggregate_sum
1356,What is the average name?,aggregate_average
1357,Count total entries,count_rows
1358,What fields are present?,show_columns
1359,Display entries where name equals 215,filter_condition
1360,Order the results by quantity from smallest to largest,sort_ascending
1361,List by city from high to low,sort_descending
1362,Sum up the values in salary,aggregate_sum
1363,Show mean of status,aggregate_average
1364,Count total entries,count_rows
1365,What fields are present?,show_columns
1366,List records with status less than 465,filter_condition
1367,Order the results by score from smallest to largest,sort_ascending
1368,Arrange city in reverse order,sort_descending
1369,Sum up the values in name,aggregate_sum
1370,Calculate average of country,aggregate_average
1371,How many records are there?,count_rows
1372,Which columns are in the dataset?,show_columns
1373,List records with name less than 824,filter_condition
1374,Order the results by name from smallest to largest,sort_ascending
1375,Arrange status in reverse order,sort_descending
1376,Sum up the values in name,aggregate_sum
1377,Show mean of gender,aggregate_average
1378,Number of rows in the data,count_rows
1379,What fields are present?,show_columns
1380,Display entries where age equals 132,filter_condition
1381,Arrange the table based on status lowest first,sort_ascending
1382,Sort by gender in descending order,sort_descending
1383,What is the total of status?,aggregate_sum
1384,Calculate average of score,aggregate_average
1385,Count total entries,count_rows
1386,Which columns are in the dataset?,show_columns
1387,Show all rows where quantity is greater than 617,filter_condition
1388,Sort the data by gender in ascending order,sort_ascending
1389,Sort by price in descending order,sort_descending
1390,Get the total sum for country,aggregate_sum
1391,What is the average city?,aggregate_average
1392,Count total entries,count_rows
1393,List all headers,show_columns
1394,List records with salary less than 109,filter_condition
1395,Sort the data by score in ascending order,sort_ascending
1396,Arrange name in reverse order,sort_descending
1397,Get the total sum for age,aggregate_sum
1398,Calculate average of salary,aggregate_average
1399,Count total entries,count_rows
1400,What fields are present?,show_columns
1401,Display entries where city equals 381,filter_condition
1402,Arrange the table based on salary lowest first,sort_ascending
1403,Arrange country in reverse order,sort_descending
1404,What is the total of age?,aggregate_sum
1405,Show mean of status,aggregate_average
1406,Count total entries,count_rows
1407,What fields are present?,show_columns
1408,Display entries where gender equals 313,filter_condition
1409,Arrange the table based on name lowest first,sort_ascending
1410,Sort by gender in descending order,sort_descending
1411,Sum up the values in gender,aggregate_sum
1412,What is the average score?,aggregate_average
1413,How many records are there?,count_rows
1414,What fields are present?,show_columns
1415,List records with age less than 959,filter_condition
1416,Sort the data by city in ascending order,sort_ascending
1417,List by score from high to low,sort_descending
1418,Sum up the values in salary,aggregate_sum
1419,Calculate average of gender,aggregate_average
1420,Count total entries,count_rows
1421,Which columns are in the dataset?,show_columns
1422,Show all rows where score is greater than 129,filter_condition
1423,Arrange the table based on gender lowest first,sort_ascending
1424,Arrange age in reverse order,sort_descending
1425,Sum up the values in country,aggregate_sum
1426,Calculate average of quantity,aggregate_average
1427,Count total entries,count_rows
1428,List all headers,show_columns
1429,Show all rows where salary is greater than 103,filter_condition
1430,Sort the data by price in ascending order,sort_ascending
1431,Sort by price in descending order,sort_descending
1432,Sum up the values in status,aggregate_sum
1433,Show mean of name,aggregate_average
1434,Number of rows in the data,count_rows
1435,Which columns are in the dataset?,show_columns
1436,Display entries where country equals 480,filter_condition
1437,Order the results by gender from smallest to largest,sort_ascending
1438,Sort by age in descending order,sort_descending
1439,Get the total sum for name,aggregate_sum
1440,What is the average price?,aggregate_average
1441,Number of rows in the data,count_rows
1442,Which columns are in the dataset?,show_columns
1443,List records with name less than 227,filter_condition
1444,Arrange the table based on status lowest first,sort_ascending
1445,List by age from high to low,sort_descending
1446,Get the total sum for salary,aggregate_sum
1447,Show mean of city,aggregate_average
1448,How many records are there?,count_rows
1449,What fields are present?,show_columns
1450,Display entries where city equals 876,filter_condition
1451,Sort the data by score in ascending order,sort_ascending
1452,Sort by price in descending order,sort_descending
1453,Get the total sum for score,aggregate_sum
1454,Show mean of name,aggregate_average
1455,How many records are there?,count_rows
1456,List all headers,show_columns
1457,List records with quantity less than 771,filter_condition
1458,Arrange the table based on country lowest first,sort_ascending
1459,List by status from high to low,sort_descending
1460,Sum up the values in age,aggregate_sum
1461,Show mean of status,aggregate_average
1462,How many records are there?,count_rows
1463,List all headers,show_columns
1464,Display entries where status equals 437,filter_condition
1465,Order the results by quantity from smallest to largest,sort_ascending
1466,Arrange score in reverse order,sort_descending
1467,Get the total sum for name,aggregate_sum
1468,Show mean of price,aggregate_average
1469,How many records are there?,count_rows
1470,What fields are present?,show_columns
1471,List records with city less than 529,filter_condition
1472,Order the results by age from smallest to largest,sort_ascending
1473,Sort by city in descending order,sort_descending
1474,What is the total of age?,aggregate_sum
1475,Calculate average of name,aggregate_average
1476,How many records are there?,count_rows
1477,List all headers,show_columns
1478,Show all rows where city is greater than 322,filter_condition
1479,Arrange the table based on age lowest first,sort_ascending
1480,Arrange score in reverse order,sort_descending
1481,Get the total sum for age,aggregate_sum
1482,Show mean of price,aggregate_average
1483,How many records are there?,count_rows
1484,List all headers,show_columns
1485,List records with age less than 187,filter_condition
1486,Order the results by country from smallest to largest,sort_ascending
1487,Arrange country in reverse order,sort_descending
1488,Sum up the values in city,aggregate_sum
1489,Calculate average of salary,aggregate_average
1490,Number of rows in the data,count_rows
1491,What fields are present?,show_columns
1492,List records with status less than 35,filter_condition
1493,Sort the data by status in ascending order,sort_ascending
1494,Arrange salary in reverse order,sort_descending
1495,What is the total of city?,aggregate_sum
1496,Show mean of age,aggregate_average
1497,Number of rows in the data,count_rows
1498,List all headers,show_columns
1499,Display entries where status equals 778,filter_condition
1500,Order the results by price from smallest to largest,sort_ascending
1501,List by price from high to low,sort_descending
1502,What is the total of quantity?,aggregate_sum
1503,Calculate average of score,aggregate_average
1504,Count total entries,count_rows
1505,Which columns are in the dataset?,show_columns
1506,List records with gender less than 693,filter_condition
1507,Sort the data by salary in ascending order,sort_ascending
1508,Arrange city in reverse order,sort_descending
1509,What is the total of city?,aggregate_sum
1510,Show mean of quantity,aggregate_average
1511,How many records are there?,count_rows
1512,List all headers,show_columns
1513,Show all rows where price is greater than 227,filter_condition
1514,Order the results by salary from smallest to largest,sort_ascending
1515,List by name from high to low,sort_descending
1516,Sum up the values in name,aggregate_sum
1517,Calculate average of country,aggregate_average
1518,Number of rows in the data,count_rows
1519,Which columns are in the dataset?,show_columns
1520,Display entries where city equals 581,filter_condition
1521,Arrange the table based on name lowest first,sort_ascending
1522,List by age from high to low,sort_descending
1523,Sum up the values in gender,aggregate_sum
1524,Show mean of status,aggregate_average
1525,Count total entries,count_rows
1526,Which columns are in the dataset?,show_columns
1527,Show all rows where score is greater than 465,filter_condition
1528,Arrange the table based on age lowest first,sort_ascending
1529,Arrange gender in reverse order,sort_descending
1530,Get the total sum for city,aggregate_sum
1531,What is the average city?,aggregate_average
1532,How many records are there?,count_rows
1533,List all headers,show_columns
1534,Show all rows where salary is greater than 857,filter_condition
1535,Arrange the table based on salary lowest first,sort_ascending
1536,Sort by status in descending order,sort_descending
1537,Get the total sum for salary,aggregate_sum
1538,What is the average quantity?,aggregate_average
1539,Number of rows in the data,count_rows
1540,Which columns are in the dataset?,show_columns
1541,List records with gender less than 901,filter_condition
1542,Sort the data by city in ascending order,sort_ascending
1543,Arrange salary in reverse order,sort_descending
1544,Sum up the values in city,aggregate_sum
1545,What is the average age?,aggregate_average
1546,Number of rows in the data,count_rows
1547,List all headers,show_columns
1548,Display entries where status equals 796,filter_condition
1549,Arrange the table based on gender lowest first,sort_ascending
1550,Arrange salary in reverse order,sort_descending
1551,What is the total of salary?,aggregate_sum
1552,What is the average quantity?,aggregate_average
1553,Count total entries,count_rows
1554,List all headers,show_columns
1555,List records with age less than 204,filter_condition
1556,Order the results by salary from smallest to largest,sort_ascending
1557,Sort by quantity in descending order,sort_descending
1558,What is the total of status?,aggregate_sum
1559,Calculate average of country,aggregate_average
1560,Count total entries,count_rows
1561,List all headers,show_columns
1562,Display entries where name equals 793,filter_condition
1563,Arrange the table based on country lowest first,sort_ascending
1564,Sort by age in descending order,sort_descending
1565,Sum up the values in quantity,aggregate_sum
1566,Show mean of country,aggregate_average
1567,Number of rows in the data,count_rows
1568,List all headers,show_columns
1569,List records with salary less than 222,filter_condition
1570,Arrange the table based on name lowest first,sort_ascending
1571,Sort by city in descending order,sort_descending
1572,Get the total sum for score,aggregate_sum
1573,What is the average price?,aggregate_average
1574,Number of rows in the data,count_rows
1575,What fields are present?,show_columns
1576,List records with status less than 285,filter_condition
1577,Order the results by city from smallest to largest,sort_ascending
1578,Arrange age in reverse order,sort_descending
1579,Get the total sum for gender,aggregate_sum
1580,Calculate average of quantity,aggregate_average
1581,How many records are there?,count_rows
1582,List all headers,show_columns
1583,Display entries where age equals 91,filter_condition
1584,Arrange the table based on price lowest first,sort_ascending
1585,List by price from high to low,sort_descending
1586,Sum up the values in quantity,aggregate_sum
1587,What is the average status?,aggregate_average
1588,How many records are there?,count_rows
1589,List all headers,show_columns
1590,List records with score less than 875,filter_condition
1591,Order the results by score from smallest to largest,sort_ascending
1592,Sort by name in descending order,sort_descending
1593,What is the total of status?,aggregate_sum
1594,What is the average score?,aggregate_average
1595,Number of rows in the data,count_rows
1596,Which columns are in the dataset?,show_columns
1597,List records with status less than 444,filter_condition
1598,Sort the data by name in ascending order,sort_ascending
1599,List by age from high to low,sort_descending
1600,Get the total sum for score,aggregate_sum
1601,Calculate average of city,aggregate_average
1602,How many records are there?,count_rows
1603,List all headers,show_columns
1604,Show all rows where price is greater than 730,filter_condition
1605,Order the results by gender from smallest to largest,sort_ascending
1606,Sort by salary in descending order,sort_descending
1607,Sum up the values in gender,aggregate_sum
1608,Show mean of country,aggregate_average
1609,How many records are there?,count_rows
1610,What fields are present?,show_columns
1611,List records with status less than 205,filter_condition
1612,Arrange the table based on gender lowest first,sort_ascending
1613,Sort by age in descending order,sort_descending
1614,Get the total sum for city,aggregate_sum
1615,Calculate average of gender,aggregate_average
1616,Count total entries,count_rows
1617,List all headers,show_columns
1618,Show all rows where quantity is greater than 487,filter_condition
1619,Order the results by quantity from smallest to largest,sort_ascending
1620,List by country from high to low,sort_descending
1621,What is the total of name?,aggregate_sum
1622,What is the average age?,aggregate_average
1623,Number of rows in the data,count_rows
1624,What fields are present?,show_columns
1625,Show all rows where salary is greater than 942,filter_condition
1626,Arrange the table based on salary lowest first,sort_ascending
1627,Sort by city in descending order,sort_descending
1628,Get the total sum for status,aggregate_sum
1629,Show mean of status,aggregate_average
1630,How many records are there?,count_rows
1631,What fields are present?,show_columns
1632,Display entries where quantity equals 540,filter_condition
1633,Order the results by age from smallest to largest,sort_ascending
1634,Arrange score in reverse order,sort_descending
1635,Sum up the values in status,aggregate_sum
1636,Calculate average of price,aggregate_average
1637,How many records are there?,count_rows
1638,List all headers,show_columns
1639,List records with name less than 502,filter_condition
1640,Order the results by price from smallest to largest,sort_ascending
1641,Sort by gender in descending order,sort_descending
1642,What is the total of city?,aggregate_sum
1643,Show mean of city,aggregate_average
1644,Count total entries,count_rows
1645,What fields are present?,show_columns
1646,Show all rows where status is greater than 957,filter_condition
1647,Sort the data by age in ascending order,sort_ascending
1648,Arrange quantity in reverse order,sort_descending
1649,Sum up the values in city,aggregate_sum
1650,Show mean of status,aggregate_average
1651,Number of rows in the data,count_rows
1652,Which columns are in the dataset?,show_columns
1653,Show all rows where gender is greater than 992,filter_condition
1654,Order the results by price from smallest to largest,sort_ascending
1655,Arrange score in reverse order,sort_descending
1656,Get the total sum for city,aggregate_sum
1657,What is the average score?,aggregate_average
1658,Number of rows in the data,count_rows
1659,What fields are present?,show_columns
1660,Show all rows where salary is greater than 432,filter_condition
1661,Order the results by salary from smallest to largest,sort_ascending
1662,Sort by name in descending order,sort_descending
1663,Sum up the values in age,aggregate_sum
1664,What is the average city?,aggregate_average
1665,How many records are there?,count_rows
1666,Which columns are in the dataset?,show_columns
1667,Show all rows where status is greater than 70,filter_condition
1668,Order the results by price from smallest to largest,sort_ascending
1669,Arrange age in reverse order,sort_descending
1670,What is the total of age?,aggregate_sum
1671,Show mean of name,aggregate_average
1672,How many records are there?,count_rows
1673,List all headers,show_columns
1674,Show all rows where name is greater than 616,filter_condition
1675,Arrange the table based on age lowest first,sort_ascending
1676,List by name from high to low,sort_descending
1677,What is the total of score?,aggregate_sum
1678,What is the average name?,aggregate_average
1679,Number of rows in the data,count_rows
1680,Which columns are in the dataset?,show_columns
1681,Show all rows where city is greater than 598,filter_condition
1682,Sort the data by name in ascending order,sort_ascending
1683,Sort by price in descending order,sort_descending
1684,Sum up the values in price,aggregate_sum
1685,Show mean of age,aggregate_average
1686,Count total entries,count_rows
1687,List all headers,show_columns
1688,Show all rows where gender is greater than 991,filter_condition
1689,Sort the data by city in ascending order,sort_ascending
1690,List by gender from high to low,sort_descending
1691,What is the total of quantity?,aggregate_sum
1692,Show mean of price,aggregate_average
1693,How many records are there?,count_rows
1694,List all headers,show_columns
1695,Show all rows where quantity is greater than 222,filter_condition
1696,Arrange the table based on score lowest first,sort_ascending
1697,Arrange gender in reverse order,sort_descending
1698,What is the total of name?,aggregate_sum
1699,Show mean of age,aggregate_average
1700,Count total entries,count_rows
1701,What fields are present?,show_columns
1702,Show all rows where city is greater than 234,filter_condition
1703,Order the results by salary from smallest to largest,sort_ascending
1704,Sort by salary in descending order,sort_descending
1705,Get the total sum for salary,aggregate_sum
1706,Calculate average of age,aggregate_average
1707,Count total entries,count_rows
1708,What fields are present?,show_columns
1709,Display entries where score equals 116,filter_condition
1710,Order the results by quantity from smallest to largest,sort_ascending
1711,Sort by quantity in descending order,sort_descending
1712,Sum up the values in city,aggregate_sum
1713,What is the average status?,aggregate_average
1714,Count total entries,count_rows
1715,Which columns are in the dataset?,show_columns
1716,Display entries where name equals 593,filter_condition
1717,Sort the data by country in ascending order,sort_ascending
1718,Arrange gender in reverse order,sort_descending
1719,Sum up the values in country,aggregate_sum
1720,What is the average name?,aggregate_average
1721,Number of rows in the data,count_rows
1722,Which columns are in the dataset?,show_columns
1723,Show all rows where score is greater than 286,filter_condition
1724,Arrange the table based on city lowest first,sort_ascending
1725,Arrange country in reverse order,sort_descending
1726,Sum up the values in country,aggregate_sum
1727,Show mean of name,aggregate_average
1728,How many records are there?,count_rows
1729,Which columns are in the dataset?,show_columns
1730,List records with age less than 153,filter_condition
1731,Order the results by price from smallest to largest,sort_ascending
1732,Sort by quantity in descending order,sort_descending
1733,Sum up the values in country,aggregate_sum
1734,Calculate average of score,aggregate_average
1735,How many records are there?,count_rows
1736,What fields are present?,show_columns
1737,List records with gender less than 179,filter_condition
1738,Order the results by price from smallest to largest,sort_ascending
1739,Arrange country in reverse order,sort_descending
1740,What is the total of name?,aggregate_sum
1741,What is the average status?,aggregate_average
1742,How many records are there?,count_rows
1743,What fields are present?,show_columns
1744,Show all rows where age is greater than 886,filter_condition
1745,Order the results by gender from smallest to largest,sort_ascending
1746,List by country from high to low,sort_descending
1747,Sum up the values in salary,aggregate_sum
1748,Show mean of salary,aggregate_average
1749,How many records are there?,count_rows
1750,List all headers,show_columns
1751,Display entries where name equals 750,filter_condition
1752,Arrange the table based on status lowest first,sort_ascending
1753,Sort by quantity in descending order,sort_descending
1754,Sum up the values in score,aggregate_sum
1755,What is the average price?,aggregate_average
1756,Count total entries,count_rows
1757,What fields are present?,show_columns
1758,List records with country less than 568,filter_condition
1759,Arrange the table based on quantity lowest first,sort_ascending
1760,Arrange score in reverse order,sort_descending
1761,What is the total of age?,aggregate_sum
1762,What is the average salary?,aggregate_average
1763,How many records are there?,count_rows
1764,Which columns are in the dataset?,show_columns
1765,List records with price less than 175,filter_condition
1766,Arrange the table based on score lowest first,sort_ascending
1767,Arrange status in reverse order,sort_descending
1768,Get the total sum for country,aggregate_sum
1769,Calculate average of status,aggregate_average
1770,Count total entries,count_rows
1771,Which columns are in the dataset?,show_columns
1772,Show all rows where country is greater than 269,filter_condition
1773,Order the results by country from smallest to largest,sort_ascending
1774,Arrange status in reverse order,sort_descending
1775,Sum up the values in status,aggregate_sum
1776,What is the average age?,aggregate_average
1777,Number of rows in the data,count_rows
1778,List all headers,show_columns
1779,Show all rows where status is greater than 130,filter_condition
1780,Arrange the table based on country lowest first,sort_ascending
1781,List by status from high to low,sort_descending
1782,Get the total sum for score,aggregate_sum
1783,What is the average quantity?,aggregate_average
1784,Count total entries,count_rows
1785,List all headers,show_columns
1786,List records with name less than 419,filter_condition
1787,Arrange the table based on gender lowest first,sort_ascending
1788,List by status from high to low,sort_descending
1789,What is the total of gender?,aggregate_sum
1790,Calculate average of age,aggregate_average
1791,Number of rows in the data,count_rows
1792,What fields are present?,show_columns
1793,List records with price less than 507,filter_condition
1794,Order the results by price from smallest to largest,sort_ascending
1795,List by quantity from high to low,sort_descending
1796,Sum up the values in score,aggregate_sum
1797,What is the average age?,aggregate_average
1798,Count total entries,count_rows
1799,Which columns are in the dataset?,show_columns
1800,List records with name less than 873,filter_condition
1801,Sort the data by quantity in ascending order,sort_ascending
1802,Sort by status in descending order,sort_descending
1803,Get the total sum for name,aggregate_sum
1804,What is the average name?,aggregate_average
1805,How many records are there?,count_rows
1806,Which columns are in the dataset?,show_columns
1807,List records with price less than 604,filter_condition
1808,Sort the data by gender in ascending order,sort_ascending
1809,Sort by age in descending order,sort_descending
1810,What is the total of salary?,aggregate_sum
1811,Calculate average of name,aggregate_average
1812,Count total entries,count_rows
1813,Which columns are in the dataset?,show_columns
1814,Show all rows where status is greater than 382,filter_condition
1815,Order the results by salary from smallest to largest,sort_ascending
1816,Arrange city in reverse order,sort_descending
1817,What is the total of gender?,aggregate_sum
1818,Show mean of gender,aggregate_average
1819,Count total entries,count_rows
1820,Which columns are in the dataset?,show_columns
1821,Display entries where price equals 856,filter_condition
1822,Order the results by score from smallest to largest,sort_ascending
1823,Sort by price in descending order,sort_descending
1824,Sum up the values in age,aggregate_sum
1825,Show mean of status,aggregate_average
1826,How many records are there?,count_rows
1827,List all headers,show_columns
1828,List records with city less than 614,filter_condition
1829,Sort the data by salary in ascending order,sort_ascending
1830,List by country from high to low,sort_descending
1831,Get the total sum for price,aggregate_sum
1832,Show mean of price,aggregate_average
1833,Number of rows in the data,count_rows
1834,Which columns are in the dataset?,show_columns
1835,Display entries where price equals 46,filter_condition
1836,Sort the data by salary in ascending order,sort_ascending
1837,List by salary from high to low,sort_descending
1838,Get the total sum for price,aggregate_sum
1839,Show mean of name,aggregate_average
1840,How many records are there?,count_rows
1841,Which columns are in the dataset?,show_columns
1842,List records with score less than 330,filter_condition
1843,Arrange the table based on price lowest first,sort_ascending
1844,Sort by price in descending order,sort_descending
1845,What is the total of country?,aggregate_sum
1846,What is the average salary?,aggregate_average
1847,Number of rows in the data,count_rows
1848,Which columns are in the dataset?,show_columns
1849,Display entries where name equals 778,filter_condition
1850,Sort the data by price in ascending order,sort_ascending
1851,Sort by age in descending order,sort_descending
1852,Sum up the values in age,aggregate_sum
1853,Show mean of city,aggregate_average
1854,How many records are there?,count_rows
1855,What fields are present?,show_columns
1856,List records with gender less than 26,filter_condition
1857,Sort the data by country in ascending order,sort_ascending
1858,List by price from high to low,sort_descending
1859,Sum up the values in city,aggregate_sum
1860,Calculate average of name,aggregate_average
1861,Number of rows in the data,count_rows
1862,Which columns are in the dataset?,show_columns
1863,Display entries where name equals 455,filter_condition
1864,Sort the data by country in ascending order,sort_ascending
1865,Arrange score in reverse order,sort_descending
1866,Get the total sum for age,aggregate_sum
1867,Show mean of status,aggregate_average
1868,How many records are there?,count_rows
1869,List all headers,show_columns
1870,Show all rows where city is greater than 546,filter_condition
1871,Arrange the table based on salary lowest first,sort_ascending
1872,Sort by country in descending order,sort_descending
1873,Sum up the values in quantity,aggregate_sum
1874,Show mean of score,aggregate_average
1875,Number of rows in the data,count_rows
1876,What fields are present?,show_columns
1877,Show all rows where quantity is greater than 358,filter_condition
1878,Arrange the table based on name lowest first,sort_ascending
1879,Sort by country in descending order,sort_descending
1880,Sum up the values in country,aggregate_sum
1881,Calculate average of age,aggregate_average
1882,Number of rows in the data,count_rows
1883,List all headers,show_columns
1884,List records with name less than 641,filter_condition
1885,Order the results by salary from smallest to largest,sort_ascending
1886,List by quantity from high to low,sort_descending
1887,Sum up the values in age,aggregate_sum
1888,Show mean of status,aggregate_average
1889,How many records are there?,count_rows
1890,Which columns are in the dataset?,show_columns
1891,Show all rows where age is greater than 902,filter_condition
1892,Arrange the table based on quantity lowest first,sort_ascending
1893,Arrange status in reverse order,sort_descending
1894,Get the total sum for price,aggregate_sum
1895,Show mean of score,aggregate_average
1896,How many records are there?,count_rows
1897,Which columns are in the dataset?,show_columns
1898,List records with quantity less than 873,filter_condition
1899,Arrange the table based on name lowest first,sort_ascending
1900,Sort by city in descending order,sort_descending
1901,What is the total of gender?,aggregate_sum
1902,What is the average price?,aggregate_average
1903,Number of rows in the data,count_rows
1904,List all headers,show_columns
1905,Display entries where score equals 343,filter_condition
1906,Sort the data by age in ascending order,sort_ascending
1907,Arrange name in reverse order,sort_descending
1908,Get the total sum for city,aggregate_sum
1909,Show mean of age,aggregate_average
1910,Number of rows in the data,count_rows
1911,Which columns are in the dataset?,show_columns
1912,Show all rows where quantity is greater than 914,filter_condition
1913,Sort the data by quantity in ascending order,sort_ascending
1914,Sort by city in descending order,sort_descending
1915,Get the total sum for status,aggregate_sum
1916,What is the average city?,aggregate_average
1917,How many records are there?,count_rows
1918,List all headers,show_columns
1919,Show all rows where score is greater than 414,filter_condition
1920,Arrange the table based on age lowest first,sort_ascending
1921,Arrange price in reverse order,sort_descending
1922,What is the total of price?,aggregate_sum
1923,Show mean of price,aggregate_average
1924,Count total entries,count_rows
1925,Which columns are in the dataset?,show_columns
1926,Display entries where status equals 760,filter_condition
1927,Arrange the table based on price lowest first,sort_ascending
1928,Arrange city in reverse order,sort_descending
1929,Get the total sum for price,aggregate_sum
1930,Show mean of name,aggregate_average
1931,Count total entries,count_rows
1932,List all headers,show_columns
1933,Show all rows where city is greater than 997,filter_condition
1934,Sort the data by name in ascending order,sort_ascending
1935,Arrange age in reverse order,sort_descending
1936,Sum up the values in price,aggregate_sum
1937,Calculate average of quantity,aggregate_average
1938,Number of rows in the data,count_rows
1939,List all headers,show_columns
1940,List records with price less than 189,filter_condition
1941,Sort the data by gender in ascending order,sort_ascending
1942,Sort by name in descending order,sort_descending
1943,Sum up the values in price,aggregate_sum
1944,Show mean of name,aggregate_average
1945,Count total entries,count_rows
1946,List all headers,show_columns
1947,List records with age less than 809,filter_condition
1948,Arrange the table based on gender lowest first,sort_ascending
1949,List by score from high to low,sort_descending
1950,Sum up the values in gender,aggregate_sum
1951,Calculate average of city,aggregate_average
1952,How many records are there?,count_rows
1953,List all headers,show_columns
1954,Show all rows where status is greater than 171,filter_condition
1955,Order the results by score from smallest to largest,sort_ascending
1956,List by price from high to low,sort_descending
1957,What is the total of quantity?,aggregate_sum
1958,Calculate average of gender,aggregate_average
1959,How many records are there?,count_rows
1960,List all headers,show_columns
1961,List records with gender less than 842,filter_condition
1962,Order the results by price from smallest to largest,sort_ascending
1963,Sort by price in descending order,sort_descending
1964,Sum up the values in city,aggregate_sum
1965,Show mean of score,aggregate_average
1966,Number of rows in the data,count_rows
1967,Which columns are in the dataset?,show_columns
1968,Show all rows where city is greater than 641,filter_condition
1969,Sort the data by quantity in ascending order,sort_ascending
1970,List by gender from high to low,sort_descending
1971,Get the total sum for price,aggregate_sum
1972,Show mean of score,aggregate_average
1973,How many records are there?,count_rows
1974,Which columns are in the dataset?,show_columns
1975,List records with gender less than 696,filter_condition
1976,Sort the data by salary in ascending order,sort_ascending
1977,List by quantity from high to low,sort_descending
1978,Get the total sum for age,aggregate_sum
1979,Show mean of name,aggregate_average
1980,Count total entries,count_rows
1981,Which columns are in the dataset?,show_columns
1982,Show all rows where age is greater than 872,filter_condition
1983,Sort the data by country in ascending order,sort_ascending
1984,Sort by city in descending order,sort_descending
1985,What is the total of age?,aggregate_sum
1986,Calculate average of quantity,aggregate_average
1987,How many records are there?,count_rows
1988,What fields are present?,show_columns
1989,List records with country less than 142,filter_condition
1990,Order the results by status from smallest to largest,sort_ascending
1991,List by price from high to low,sort_descending
1992,Sum up the values in status,aggregate_sum
1993,Show mean of name,aggregate_average
1994,Count total entries,count_rows
1995,List all headers,show_columns
1996,Show all rows where score is greater than 439,filter_condition
1997,Sort the data by score in ascending order,sort_ascending
1998,Arrange city in reverse order,sort_descending
1999,What is the total of country?,aggregate_sum
2000,Calculate average of age,aggregate_average
2001,How many records are there?,count_rows
2002,List all headers,show_columns
2003,Show all rows where name is greater than 967,filter_condition
2004,Order the results by name from smallest to largest,sort_ascending
2005,Sort by city in descending order,sort_descending
2006,Sum up the values in name,aggregate_sum
2007,What is the average age?,aggregate_average
2008,Number of rows in the data,count_rows
2009,Which columns are in the dataset?,show_columns
2010,List records with quantity less than 147,filter_condition
2011,Arrange the table based on quantity lowest first,sort_ascending
2012,Arrange price in reverse order,sort_descending
2013,Sum up the values in gender,aggregate_sum
2014,What is the average status?,aggregate_average
2015,Count total entries,count_rows
2016,List all headers,show_columns
2017,List records with city less than 14,filter_condition
2018,Sort the data by city in ascending order,sort_ascending
2019,Arrange salary in reverse order,sort_descending
2020,What is the total of price?,aggregate_sum
2021,Show mean of city,aggregate_average
2022,Count total entries,count_rows
2023,Which columns are in the dataset?,show_columns
2024,List records with salary less than 417,filter_condition
2025,Arrange the table based on name lowest first,sort_ascending
2026,Arrange price in reverse order,sort_descending
2027,Get the total sum for age,aggregate_sum
2028,Show mean of city,aggregate_average
2029,Number of rows in the data,count_rows
2030,List all headers,show_columns
2031,Display entries where name equals 484,filter_condition
2032,Sort the data by score in ascending order,sort_ascending
2033,List by score from high to low,sort_descending
2034,What is the total of gender?,aggregate_sum
2035,Show mean of score,aggregate_average
2036,How many records are there?,count_rows
2037,List all headers,show_columns
2038,List records with price less than 821,filter_condition
2039,Arrange the table based on salary lowest first,sort_ascending
2040,Arrange country in reverse order,sort_descending
2041,Get the total sum for name,aggregate_sum
2042,What is the average quantity?,aggregate_average
2043,How many records are there?,count_rows
2044,Which columns are in the dataset?,show_columns
2045,List records with price less than 574,filter_condition
2046,Arrange the table based on salary lowest first,sort_ascending
2047,Arrange name in reverse order,sort_descending
2048,Sum up the values in age,aggregate_sum
2049,Calculate average of salary,aggregate_average
2050,Count total entries,count_rows
